strain	region	country
Argentina/INEI106063/2021	South America	Argentina
Argentina/INEI106066/2021	South America	Argentina
Argentina/INEI104896/2021	South America	Argentina
Argentina/INEI106555/2021	South America	Argentina
Argentina/INEI106572/2021	South America	Argentina
Argentina/INEI106576/2021	South America	Argentina
Argentina/INEI106590/2021	South America	Argentina
Argentina/INEI106508/2021	South America	Argentina
Argentina/INEI106587/2021	South America	Argentina
Argentina/INEI106595/2021	South America	Argentina
Argentina/INEI104921/2021	South America	Argentina
Argentina/INEI106608/2021	South America	Argentina
Argentina/INEI105168/2021	South America	Argentina
Argentina/INEI105173/2021	South America	Argentina
Argentina/INEI105183/2021	South America	Argentina
Argentina/INEI106569/2021	South America	Argentina
Argentina/INEI106571/2021	South America	Argentina
Argentina/INEI104900/2021	South America	Argentina
Argentina/INEI104923/2021	South America	Argentina
Argentina/INEI106560/2021	South America	Argentina
Argentina/INEI106610/2021	South America	Argentina
Argentina/INEI105593/2021	South America	Argentina
Argentina/INEI105602/2021	South America	Argentina
Argentina/INEI108344/2021	South America	Argentina
Argentina/INEI106568/2021	South America	Argentina
Argentina/INEI106078/2021	South America	Argentina
Argentina/INEI106077/2021	South America	Argentina
Argentina/INEI106065/2021	South America	Argentina
Argentina/INEI106095/2021	South America	Argentina
Argentina/INEI106083/2021	South America	Argentina
Argentina/INEI105599/2021	South America	Argentina
Argentina/INEI107169/2021	South America	Argentina
Argentina/INEI107178/2021	South America	Argentina
Argentina/INEI107193/2021	South America	Argentina
Argentina/INEI107195/2021	South America	Argentina
Argentina/INEI107198/2021	South America	Argentina
Argentina/INEI107199/2021	South America	Argentina
Argentina/INEI107207/2021	South America	Argentina
Argentina/INEI107208/2021	South America	Argentina
Argentina/INEI106561/2021	South America	Argentina
Argentina/INEI106564/2021	South America	Argentina
Argentina/INEI106566/2021	South America	Argentina
Argentina/INEI106567/2021	South America	Argentina
Argentina/INEI106081/2021	South America	Argentina
Argentina/INEI106301/2021	South America	Argentina
Argentina/PAIS-A0893/2021	South America	Argentina
Argentina/INEI107636/2021	South America	Argentina
Argentina/INEI107902/2021	South America	Argentina
Argentina/INEI107886/2021	South America	Argentina
Argentina/INEI107844/2021	South America	Argentina
Argentina/INEI107613/2021	South America	Argentina
Argentina/INEI107899/2021	South America	Argentina
Argentina/INEI107755/2021	South America	Argentina
Belgium/rega-7639/2021	Europe	Belgium
Belgium/rega-5787/2021	Europe	Belgium
Belgium/rega-7347/2021	Europe	Belgium
Belgium/rega-7989/2021	Europe	Belgium
Belgium/UZA-UA-TKE360/2021	Europe	Belgium
Belgium/UZA-UA-CV2206864275/2021	Europe	Belgium
Belgium/rega-5725/2021	Europe	Belgium
Belgium/rega-9057/2021	Europe	Belgium
Belgium/rega-6253/2021	Europe	Belgium
