strain	region	country
Australia/VIC36410/2022	Oceania	Australia
Australia/VIC36218/2022	Oceania	Australia
Australia/VIC36431/2022	Oceania	Australia
Australia/VIC36538/2022	Oceania	Australia
Australia/VIC36553/2022	Oceania	Australia
Australia/VIC36556/2022	Oceania	Australia
Australia/VIC36557/2022	Oceania	Australia
Australia/VIC36578/2022	Oceania	Australia
Australia/VIC36621/2022	Oceania	Australia
Australia/VIC36660/2022	Oceania	Australia
Australia/VIC36663/2022	Oceania	Australia
Australia/VIC36715/2022	Oceania	Australia
Australia/VIC36436/2022	Oceania	Australia
Australia/VIC36744/2022	Oceania	Australia
Australia/VIC36176/2022	Oceania	Australia
Australia/VIC36097/2022	Oceania	Australia
Australia/VIC35317/2022	Oceania	Australia
Australia/VIC35357/2022	Oceania	Australia
Australia/VIC35367/2022	Oceania	Australia
Australia/VIC35417/2021	Oceania	Australia
Australia/VIC35470/2021	Oceania	Australia
Australia/VIC35495/2022	Oceania	Australia
Australia/VIC35531/2021	Oceania	Australia
Australia/VIC35596/2022	Oceania	Australia
Australia/VIC35638/2022	Oceania	Australia
Australia/VIC36129/2022	Oceania	Australia
Australia/VIC35672/2022	Oceania	Australia
Australia/VIC35719/2022	Oceania	Australia
Australia/VIC35720/2022	Oceania	Australia
Australia/VIC35744/2022	Oceania	Australia
Australia/VIC35863/2022	Oceania	Australia
Australia/VIC35921/2022	Oceania	Australia
Australia/VIC35963/2022	Oceania	Australia
Australia/VIC35981/2022	Oceania	Australia
Australia/VIC36006/2022	Oceania	Australia
Australia/VIC36014/2022	Oceania	Australia
Australia/VIC35714/2022	Oceania	Australia
