strain	region	country																				
Australia/QLD38141/2022	Oceania	Australia																				
Australia/QLD38142/2022	Oceania	Australia																				
Australia/QLD38544/2022	Oceania	Australia																				
Australia/QLD38144/2022	Oceania	Australia																				
Australia/QLD38179/2022	Oceania	Australia																				
Australia/QLD38185/2022	Oceania	Australia																				
Australia/QLD38195/2022	Oceania	Australia																				
Australia/QLD38213/2022	Oceania	Australia																				
Australia/QLD38216/2022	Oceania	Australia																				
Australia/QLD38221/2022	Oceania	Australia																				
Australia/QLD38239/2022	Oceania	Australia																				
Australia/QLD38269/2022	Oceania	Australia																				
Australia/QLD38283/2022	Oceania	Australia																				
Australia/QLD38151/2022	Oceania	Australia																				
Australia/QLD38562/2022	Oceania	Australia																				
Australia/QLD38577/2022	Oceania	Australia																				
Australia/QLD38588/2022	Oceania	Australia																				
Australia/QLD39188/2022	Oceania	Australia																				
Australia/QLD39212/2022	Oceania	Australia																				
Australia/QLD39274/2022	Oceania	Australia																				
Australia/QLD39436/2022	Oceania	Australia																				
Australia/QLD39463/2022	Oceania	Australia																				
Australia/QLD39586/2022	Oceania	Australia																				
Australia/QLD39600/2022	Oceania	Australia																				
Australia/QLD39604/2022	Oceania	Australia																				
Australia/QLD39617/2022	Oceania	Australia																				
Australia/QLD39169/2022	Oceania	Australia																				
Australia/QLD39655/2022	Oceania	Australia																				
Australia/QLD39714/2022	Oceania	Australia																				
Australia/QLD39769/2022	Oceania	Australia																				
Australia/QLD39782/2022	Oceania	Australia																				
Australia/QLD39833/2022	Oceania	Australia																				
Australia/QLD39836/2022	Oceania	Australia																				
Australia/QLD39841/2022	Oceania	Australia																				
Australia/QLD39845/2022	Oceania	Australia																				
Australia/QLD39857/2022	Oceania	Australia																				
Australia/QLD39864/2022	Oceania	Australia																				
Australia/QLD39705/2022	Oceania	Australia																				
Australia/QLD39880/2022	Oceania	Australia																				
Australia/QLD39160/2022	Oceania	Australia																				
Australia/QLD39114/2022	Oceania	Australia																				
Australia/QLD38598/2022	Oceania	Australia																				
Australia/QLD38703/2022	Oceania	Australia																				
Australia/QLD38734/2022	Oceania	Australia																				
Australia/QLD38736/2022	Oceania	Australia																				
Australia/QLD38745/2022	Oceania	Australia																				
Australia/QLD38747/2022	Oceania	Australia																				
Australia/QLD38778/2022	Oceania	Australia																				
Australia/QLD38785/2022	Oceania	Australia																				
Australia/QLD38815/2022	Oceania	Australia																				
Australia/QLD39133/2022	Oceania	Australia																				
Australia/QLD38839/2022	Oceania	Australia																				
Australia/QLD38886/2022	Oceania	Australia																				
Australia/QLD38922/2022	Oceania	Australia																				
Australia/QLD38982/2022	Oceania	Australia																				
Australia/QLD39036/2022	Oceania	Australia																				
Australia/QLD39045/2022	Oceania	Australia																				
Australia/QLD39058/2022	Oceania	Australia																				
Australia/QLD39072/2022	Oceania	Australia																				
Australia/QLD39080/2022	Oceania	Australia																				
Australia/QLD39097/2022	Oceania	Australia																				
Australia/QLD38858/2022	Oceania	Australia																				
Australia/VIC31835/2021	Oceania	Australia																				
Australia/WA1392/2022	Oceania	Australia																				
Australia/VIC32032/2021	Oceania	Australia																				
Australia/VIC38861/2022	Oceania	Australia																				
Australia/VIC38864/2022	Oceania	Australia																				
Australia/VIC38946/2022	Oceania	Australia																				
Australia/VIC39077/2022	Oceania	Australia																				
Australia/VIC39427/2022	Oceania	Australia																				
Australia/VIC40085/2022	Oceania	Australia																				
Australia/VIC40097/2022	Oceania	Australia																				
Australia/VIC40163/2022	Oceania	Australia																				
Australia/VIC40523/2022	Oceania	Australia																				
Australia/VIC43690/2022	Oceania	Australia																				
Australia/WA1057/2022	Oceania	Australia																				
Australia/WA1058/2022	Oceania	Australia																				
Australia/WA1075/2022	Oceania	Australia																				
Australia/WA1084/2022	Oceania	Australia																				
Australia/WA1105/2022	Oceania	Australia																				
Australia/WA1132/2022	Oceania	Australia																				
Australia/WA1149/2022	Oceania	Australia																				
Australia/WA1151/2022	Oceania	Australia																				
Australia/WA1169/2022	Oceania	Australia																				
Australia/VIC38847/2022	Oceania	Australia																				
Australia/VIC38844/2022	Oceania	Australia																				
Australia/VIC38831/2022	Oceania	Australia																				
Australia/VIC38829/2022	Oceania	Australia																				
Australia/VIC38071/2022	Oceania	Australia																				
Australia/VIC38076/2022	Oceania	Australia																				
Australia/VIC38135/2022	Oceania	Australia																				
Australia/VIC38158/2022	Oceania	Australia																				
Australia/VIC38168/2022	Oceania	Australia																				
Australia/VIC38201/2022	Oceania	Australia																				
Australia/VIC38206/2022	Oceania	Australia																				
Australia/VIC38359/2022	Oceania	Australia																				
Australia/VIC38391/2022	Oceania	Australia																				
Australia/WA1182/2022	Oceania	Australia																				
Australia/VIC38419/2022	Oceania	Australia																				
Australia/VIC38529/2022	Oceania	Australia																				
Australia/VIC38534/2022	Oceania	Australia																				
Australia/VIC38549/2022	Oceania	Australia																				
Australia/VIC38597/2022	Oceania	Australia																				
Australia/VIC38605/2022	Oceania	Australia																				
Australia/VIC38606/2022	Oceania	Australia																				
Australia/VIC38791/2022	Oceania	Australia																				
Australia/VIC38811/2022	Oceania	Australia																				
Australia/VIC38823/2022	Oceania	Australia																				
Australia/VIC38519/2022	Oceania	Australia																				
Australia/WA1200/2022	Oceania	Australia																				
Australia/WA1201/2022	Oceania	Australia																				
Australia/WA1215/2022	Oceania	Australia																				
Australia/WA1669/2022	Oceania	Australia																				
Australia/WA1677/2022	Oceania	Australia																				
Australia/WA1689/2022	Oceania	Australia																				
Australia/WA1702/2022	Oceania	Australia																				
Australia/WA1705/2022	Oceania	Australia																				
Australia/WA878/2021	Oceania	Australia																				
Australia/WA890/2022	Oceania	Australia																				
Australia/WA891/2022	Oceania	Australia																				
Australia/WA907/2022	Oceania	Australia																				
Australia/WA1630/2022	Oceania	Australia																				
Australia/WA935/2022	Oceania	Australia																				
Australia/WA952/2022	Oceania	Australia																				
